factor_name,original_frequency,category,period_used,trend_strength,seasonal_strength,trend_slope,mean_resid,std_resid,skew_resid,kurtosis_resid,lb_pvalue,normal_pvalue,passed_white_noise,passed_normality,final_length,image_path,adf_p,kpss_p,is_stationary,station_method,is_stationary_after
active_more_1y_percent,10m,supply,144,0.0006446235603488676,0.40559999020055953,2.960625595617682e-11,1.9579008733843395e-07,4.4519861201166714e-05,0.18709543936482936,4369.631279325264,0.0,0.0,False,False,44781,./data/image_multi_freq/active_more_1y_percent_10m.png,0.5381536347730401,0.01,False,diff2,True
active_1w_1m,10m,supply,144,0.012959729575967912,0.588726684135529,-0.008110825327210754,30.549629025263826,2209.653648428915,17.862479847444202,1176.7572505487367,1.9127863147586443e-21,0.0,False,False,44782,./data/image_multi_freq/active_1w_1m_10m.png,0.5193644675741583,0.01,False,diff1,True
active_1d_1w,10m,supply,144,0.009723685518577802,0.47102787846791505,0.0016120090975249325,32.75718612808522,2926.122839926772,-0.15417400792126718,51.31420337441756,4.93933751023021e-85,0.0,False,False,44782,./data/image_multi_freq/active_1d_1w_10m.png,3.335935361678727e-05,0.01,False,diff1,True
issued,10m,supply,144,0.007516709870758194,0.24026301103635103,4.470636708961254e-06,0.4134422168454692,2.730542728828441,1.3215092091450955,3.721782640257114,0.00019897246611234846,0.0,False,False,44783,./data/image_multi_freq/issued_10m.png,0.0,0.1,True,none,True
active_3m_6m,10m,supply,144,0.004530499872380155,0.8556754388806451,-0.002901492234059746,-7.152463910027604,1176.3289031265233,-6.023808229633606,288.4784969452681,0.0,0.0,False,False,44781,./data/image_multi_freq/active_3m_6m_10m.png,0.7758157657277968,0.01,False,diff2,True
runes_fee_share,1h,transactions,24,0.009628483359734335,0.18850574610376739,-9.371926635450598e-07,-0.00128021817138098,0.10487554026621092,-0.0018897893485215046,7.864851695948218,2.7904820136925283e-134,1.4658678389976273e-246,False,False,7462,./data/image_multi_freq/runes_fee_share_1h.png,3.6397905730130103e-07,0.01,False,diff1,True
transfers_volume_entity_adjusted_from_lth_loss_sum,10m,transactions,144,0.0010712596005351845,0.2824249085290931,-1.7962542115104847e-05,0.0512128881442366,63.97676591650395,-0.493094469624031,1361.821126885887,0.0,0.0,False,False,44782,./data/image_multi_freq/transfers_volume_entity_adjusted_from_lth_loss_sum_10m.png,0.0,0.01,False,diff1,True
transfers_volume_entity_adjusted_mean,10m,transactions,144,0.0010083924633466242,0.11821605587244248,-3.424228278774125e-08,0.0053618379460683395,0.5156161815849802,-0.02851194952111204,63.41899143199788,0.0,0.0,False,False,44782,./data/image_multi_freq/transfers_volume_entity_adjusted_mean_10m.png,2.074491471610332e-30,0.01,False,diff1,True
count,10m,transactions,144,0.0022514012340576137,0.21368667678362718,-0.02454532753035281,-2.6206561784009903,4671.675341570497,-0.09539026699465782,6.431426541678366,0.0,0.0,False,False,44782,./data/image_multi_freq/count_10m.png,6.841392277086768e-29,0.01,False,diff1,True
transfers_volume_from_otc_desks_sum,10m,transactions,144,0.0020278207654605986,0.42881788619861844,0.0001693073192887591,-0.1335463505744645,102.38878935510964,-0.7466826940444283,329.43622481938644,0.0,0.0,False,False,44782,./data/image_multi_freq/transfers_volume_from_otc_desks_sum_10m.png,0.0,0.04351258467027235,False,diff1,True
runes_fee,1h,transactions,24,0.0025942781245003,0.1219780469008183,-1.0650997007215143e-06,-0.0026031278163168615,0.6204497630455488,18.208412258797203,2527.9372220898103,8.208689831121855e-196,0.0,False,False,7462,./data/image_multi_freq/runes_fee_1h.png,0.0,0.01,False,diff1,True
transfers_volume_exchanges_net,10m,transactions,144,0.0046182255440874185,0.38075181321518187,-0.0018928488120906598,-1.3051705960744069,370.44706916227324,-2.3471073664511333,140.4834358781912,1.5333874997952395e-06,0.0,False,False,44783,./data/image_multi_freq/transfers_volume_exchanges_net_10m.png,0.0,0.07689142535268109,True,none,True
transfers_volume_median,10m,transactions,144,0.0034100129572350924,0.27881035665299636,-1.9226868278187505e-08,0.0002738791989844024,0.0037797599817289973,0.4260830567689449,17.14037983910346,0.0,0.0,False,False,44782,./data/image_multi_freq/transfers_volume_median_10m.png,0.0,0.01,False,diff1,True
transfers_exchanges_to_whales_count,10m,transactions,144,0.003231925427713287,0.2530817789573458,0.00022261729737789085,2.3494453887319517,33.17835966179686,0.4491972408975645,4.569046446358175,0.0,0.0,False,False,44782,./data/image_multi_freq/transfers_exchanges_to_whales_count_10m.png,0.0,0.01,False,diff1,True
transfers_from_otc_desks_count,10m,transactions,144,0.007130867405445546,0.22541613431654223,2.3890307601537124e-06,0.16959458535754557,0.733978953716017,3.452085189490908,27.32651229456748,0.0,0.0,False,False,44783,./data/image_multi_freq/transfers_from_otc_desks_count_10m.png,0.0,0.1,True,none,True
