,factor_name,original_frequency,category,period_used,trend_strength,seasonal_strength,trend_slope,mean_resid,std_resid,skew_resid,kurtosis_resid,lb_pvalue,normal_pvalue,passed_white_noise,passed_normality,final_length,image_path,adf_p,kpss_p,is_stationary,station_method,is_stationary_after,score
142,min_10_count,10m,addresses,144,0.0016383634729523,0.2707852541551727,-2.472287257072392e-05,0.0539283323198339,13.920488049620598,1.716619175513568,114.0434518782866,1.5931499820427695e-136,0.0,False,False,44782,./data/image_multi_freq/min_10_count_10m.png,0.8628338102595291,0.01,False,diff1,True,0.272423617628125
135,receiving_count,10m,addresses,144,0.0015305950993234,0.2692508287112066,0.0006155114671837,326.85600667473545,6144.1705834031,0.3565401383329811,3.141625165745192,0.0,0.0,False,False,44782,./data/image_multi_freq/receiving_count_10m.png,0.0,0.01,False,diff1,True,0.27078142381053
115,transfers_volume_mean,10m,transactions,144,0.0194876478560609,0.2485744663162052,3.92493036432264e-05,0.3744684609651325,1.6310080190870095,2.562620739369757,85.48414994922622,2.0898613616366414e-154,0.0,False,False,44783,./data/image_multi_freq/transfers_volume_mean_10m.png,0.0,0.1,True,none,True,0.2680621141722661
127,count,10m,addresses,144,0.0015809546408145,0.265411106914707,-0.000740218612663,160.1682124127103,2939.66846675766,0.3557942274504843,3.387454941176715,0.0,0.0,False,False,44781,./data/image_multi_freq/count_10m.png,0.9871577548267254,0.01,False,diff2,True,0.26699206155552146
136,new_non_zero_count,10m,addresses,144,0.0015869693187999,0.2653970582077523,-0.0006508203829704,160.06646742502002,2939.530807111903,0.3558217792264123,3.3884623456089624,0.0,0.0,False,False,44782,./data/image_multi_freq/new_non_zero_count_10m.png,0.0,0.0110430540600059,False,diff1,True,0.2669840275265522
151,spot_buying_volume_sum,10m,market,144,0.0020782789232796,0.2648209130927804,4.355323867313742e-07,0.6362909844810702,319.0039038639968,0.1748265931440379,47.72964029169066,0.0,0.0,False,False,44782,./data/image_multi_freq/spot_buying_volume_sum_10m.png,0.0,0.01,False,diff1,True,0.26689919201606
13,options_atm_implied_volatility_1_week,10m,derivatives,144,0.0085125054742413,0.2581278063111607,-5.62636617784408e-07,0.0155476609488711,0.2865410483605087,1.3464100967203934,61.877967555114765,0.0,0.0,False,False,44782,./data/image_multi_freq/options_atm_implied_volatility_1_week_10m.png,1.535088552833785e-05,0.01,False,diff1,True,0.26664031178540204
104,transfers_rate,10m,transactions,144,0.0016185834509652,0.2650123394524216,-1.5251794030204386e-06,0.4641847203019868,11.21466950997815,0.2828237867965104,3.2016507794922733,0.0,0.0,False,False,44782,./data/image_multi_freq/transfers_rate_10m.png,0.0,0.01,False,diff1,True,0.2666309229033868
125,active_count,10m,addresses,144,0.0014992740638891,0.2641267734468754,-0.0061200982602872,392.70827888878375,10021.354731345356,0.2831428186375444,3.106532223855022,0.0,0.0,False,False,44782,./data/image_multi_freq/active_count_10m.png,0.0,0.01,False,diff1,True,0.2656260475107645
77,transfers_to_exchanges_count,10m,transactions,144,0.0021313492261678,0.2607084021308407,0.0003189388813584,30.8964711097166,603.1237720243072,0.3389875529948555,3.951019222020399,0.0,0.0,False,False,44782,./data/image_multi_freq/transfers_to_exchanges_count_10m.png,0.0,0.01,False,diff1,True,0.2628397513570085
